key,start,end,xlsx_col3,xlsx_col9,xlsx_col11,xlsx_a,xlsx_b,xlsx_col16,xlsx_col10,xlsx_col12,xlsx_string,record,start_dom_top_1,start_dom_top_2,start_dom_top_3,start_dom_top_4,start_dom_top_5,end_dom_top_1,end_dom_top_2,end_dom_top_3,end_dom_top_4,end_dom_top_5,start_non_top_1,start_non_top_2,start_non_top_3,start_non_top_4,start_non_top_5,end_non_top_1,end_non_top_2,end_non_top_3,end_non_top_4,end_non_top_5
sign_338391,67,82,ns-BOSTON,B,B,19595.0,19610.0,82.0,,,2013-06-27_CB_0115-cam1-for-ss3.mp4,4,5,crvd-5,B,8,B-xd,B-L,B,5,F,B-xd,5,F,bent-B-L,5-C-L,L-X,5,bent-B-L,F,5-C-L,crvd-5
sign_338391,88,108,WHEN,1,1,19616.0,19636.0,82.0,1,1,2013-06-27_CB_0115-cam1-for-ss3.mp4,4,1,X,D,tight-C_2,L,tight-C_2,1,X,crvd-V,D,5,F,bent-B-L,5-C-L,crvd-5,5,F,bent-B-L,5-C-L,crvd-5
sign_339719,10,14,MOTHER,5,5,5417.0,5421.0,27.0,,,2013-06-27_CB_0112-cam1-for-ss3.mp4,5,B-L,5,1,L,B,B-L,25,5,F,crvd-B,5,bent-B-L,F,crvd-5,5-C-L,5,bent-B-L,F,crvd-5,5-C-L
sign_339719,39,52,NICE/CLEAN,B-L,B-L,5446.0,5459.0,27.0,B-L,B-L,2013-06-27_CB_0112-cam1-for-ss3.mp4,5,B-L,V,1,tight-C_2,flat-O,B-L,tight-C_2,V,1,D,5,F,5-C-L,bent-B-L,L-X,5,F,5-C-L,L-X,crvd-5
sign_339719,60,84,(K)KITCHEN,K,K,5467.0,5491.0,27.0,B-L,B-L,2013-06-27_CB_0112-cam1-for-ss3.mp4,5,V,B-L,1,tight-C_2,R,crvd-B,1,V,B-L,flat-O,5,F,5-C-L,bent-B-L,L-X,5,F,5-C-L,bent-B-L,L-X
sign_348036,15,22,MOTHER,5,5,1557.0,1564.0,8.0,,,2012-11-27_JM1_0090-cam1-for-ss3.mp4,6,B-L,5,B,25,W,5,W,25,F,B-L,bent-B-L,5,F,crvd-5,C,bent-B-L,5,crvd-5,F,C
sign_348036,33,49,NICE/CLEAN,B-L,B-L,1575.0,1591.0,8.0,B-L,B-L,2012-11-27_JM1_0090-cam1-for-ss3.mp4,6,B-L,5,V,F,25,B-L,5,25,1,X,5,F,5-C-L,bent-B-L,crvd-5,5,F,5-C-L,bent-B-L,L-X
sign_348036,57,68,(K)KITCHEN,K,K,1599.0,1610.0,8.0,bent-B,bent-B,2012-11-27_JM1_0090-cam1-for-ss3.mp4,6,5,25,B-L,V,tight-C_2,tight-C_2,B-L,1,bent-1,D,5,F,crvd-5,bent-B-L,5-C-L,5,F,5-C-L,bent-B-L,crvd-5
sign_329483,4,9,ONE,1,1,560.0,565.0,5.0,,,2012-02-14_0066-cam1-for-ss3.mp4,7,1,D,L,tight-C_2,X,1,D,tight-C_2,L,bent-1,bent-B-L,5,F,C,B-L,bent-B-L,5,F,C,B-L
sign_329483,16,22,STUDY,5,5,572.0,578.0,5.0,5,5,2012-02-14_0066-cam1-for-ss3.mp4,7,5,25,bent-B-L,F,crvd-B,5,B,F,flat-O,B-L,5,F,crvd-5,bent-B-L,Y,5,F,bent-B-L,crvd-5,5-C-L
sign_329483,32,38,SHOW,1,1,588.0,594.0,5.0,B-L,B-L,2012-02-14_0066-cam1-for-ss3.mp4,7,1,X,bent-1,tight-C_2,V,1,bent-1,tight-C_2,alt-G_bent-L,B,F,5,crvd-5,bent-B-L,L-X,bent-B-L,5,F,crvd-5,5-C-L
sign_329483,60,61,OH-I-SEE,Y,Y,616.0,617.0,5.0,,,2012-02-14_0066-cam1-for-ss3.mp4,7,Y,I,tight-C_2,I-L-Y,T,Y,tight-C_2,I,F,cocked-F,bent-B-L,5,F,C,crvd-5,bent-B-L,5,F,crvd-5,C
sign_329483,66,73,(L-X)INTERESTING,L-X,A,622.0,629.0,5.0,L-X,A,2012-02-14_0066-cam1-for-ss3.mp4,7,10,L,L-X,B-L,bent-B-L,1,bent-1,X,S,V,5,bent-B-L,F,crvd-5,5-C-L,bent-B-L,5,F,crvd-5,C
sign_329483,81,84,STUDY,5,5,637.0,640.0,5.0,B-L,B-L,2012-02-14_0066-cam1-for-ss3.mp4,7,bent-B-L,25,5,bent-B,B-L,1,V,5,X,tight-C_2,bent-B-L,5,F,crvd-5,5-C-L,5,bent-B-L,F,5-C-L,crvd-5
sign_329483,90,97,DO-DO,G,flat-G,646.0,653.0,5.0,G,flat-G,2012-02-14_0066-cam1-for-ss3.mp4,7,1,tight-C_2,X,bent-1,D,S,X,1,X-over-thumb,tight-C_2,5,F,crvd-5,5-C-L,bent-B-L,5,F,bent-B-L,crvd-5,5-C-L
sign_329483,113,122,GROUP/TOGETHER,crvd-5,crvd-5,669.0,678.0,5.0,crvd-5,crvd-5,2012-02-14_0066-cam1-for-ss3.mp4,7,bent-B,bent-B-L,B-L,C,M,5,B-L,B,crvd-5,1,5,crvd-5,Y,L-X,25,5,bent-B-L,F,crvd-5,25
sign_329483,128,131,PEOPLE,K,K,684.0,687.0,5.0,K,K,2012-02-14_0066-cam1-for-ss3.mp4,7,tight-C_2,V,1,R,N,tight-C_2,V,R,3,1,5,F,bent-B-L,crvd-5,25,5,F,crvd-5,Y,L-X
sign_329483,138,146,"PCL:5\coming in\""""",5,5,694.0,702.0,5.0,5,5,2012-02-14_0066-cam1-for-ss3.mp4,7,5,F,5-C-L,tight-C_2,25,5,tight-C_2,crvd-5,25,3,5,F,crvd-5,L-X,Y,bent-B-L,5,F,5-C-L,crvd-5
sign_329483,157,161,LOOK,V,V,713.0,717.0,5.0,V,V,2012-02-14_0066-cam1-for-ss3.mp4,7,V,tight-C_2,N,1,R,1,bent-1,X,V,D,5,F,bent-B-L,25,Y,bent-B-L,5,F,25,crvd-5
sign_329483,167,186,VIDEOTAPE,V,T,723.0,742.0,5.0,B-L,B-L,2012-02-14_0066-cam1-for-ss3.mp4,7,tight-C_2,R,V,1,crvd-V,10,1,A,S,bent-1,bent-B-L,5,F,crvd-5,Y,5,F,crvd-5,bent-B-L,Y
sign_329483,193,196,fs-OF,O,F,749.0,752.0,5.0,,,2012-02-14_0066-cam1-for-ss3.mp4,7,5,flat-O,crvd-sprd-B,F,B-L,F,25,cocked-F,8,5,F,5,bent-B-L,crvd-5,Y,5,F,bent-B-L,crvd-5,Y
sign_329483,203,210,CAR,S,S,759.0,766.0,5.0,S,S,2012-02-14_0066-cam1-for-ss3.mp4,7,S,1,X,A,bent-1,S,flat-O,O,tight-C_2,I,5,F,bent-B-L,Y,25,5,F,bent-B-L,25,Y
sign_329483,215,225,ACCIDENT,5,S,771.0,781.0,5.0,5,S,2012-02-14_0066-cam1-for-ss3.mp4,7,5,5-C-L,crvd-5,25,crvd-sprd-B,S,flat-O,tight-C_2,1,B,5,F,Y,bent-B-L,crvd-5,5,bent-B-L,F,crvd-5,5-C-L
sign_329483,233,238,part:indef,crvd-5,crvd-5,789.0,794.0,5.0,crvd-5,crvd-5,2012-02-14_0066-cam1-for-ss3.mp4,7,5-C-L,crvd-B,crvd-5,B-L,5,B-L,5-C-L,5,crvd-B,1,bent-B-L,5,F,Y,crvd-5,bent-B-L,5,F,crvd-5,Y
sign_329483,244,246,"5\so all set\""""",crvd-5,crvd-5,800.0,802.0,5.0,crvd-5,crvd-5,2012-02-14_0066-cam1-for-ss3.mp4,7,5,crvd-5,B-L,1,F,5,B-L,crvd-5,B-xd,B,5,F,bent-B-L,crvd-5,Y,5,bent-B-L,F,crvd-5,Y
sign_240762,8,12,HOW,bent-B,bent-B,3212.0,3216.0,18.0,bent-B,bent-B,1-Introduction-SD.mov,8,Y,bent-B-L,bent-B,F,flat-O,Y,C,bent-B-L,bent-B,crvd-B,5,F,crvd-5,bent-B-L,Y,5,F,5-C-L,bent-B-L,Y
sign_240762,20,25,"\WHAT\""""",5,5,3224.0,3229.0,18.0,5,5,1-Introduction-SD.mov,8,5,crvd-5,5-C,B-L,fanned-flat-O,5,B-L,crvd-5,5-C,fanned-flat-O,5,bent-B-L,F,5-C-L,Y,5,F,bent-B-L,5-C-L,crvd-5
sign_240762,35,43,THROUGH,B-L,B-L,3239.0,3247.0,18.0,5,5,1-Introduction-SD.mov,8,B-L,5,tight-C_2,crvd-5,bent-B-L,B-L,5,tight-C_2,crvd-5,4,5,F,bent-B-L,Y,crvd-5,5,bent-B-L,F,Y,crvd-5
sign_240762,59,69,FEEDBACK_3,F,B,3263.0,3273.0,18.0,F,B,1-Introduction-SD.mov,8,5,crvd-5,W,tight-C_2,4,crvd-5,fanned-flat-O,B-L,tight-C_2,4,5,F,5-C-L,crvd-5,Y,5,F,crvd-5,bent-B-L,5-C-L
sign_240762,85,87,"5\let's see\""""",5,5,3289.0,3291.0,18.0,5,5,1-Introduction-SD.mov,8,crvd-5,B-L,5,25,crvd-sprd-B,5,B-L,crvd-5,crvd-sprd-B,25,5,F,bent-B-L,crvd-5,5-C-L,5,F,bent-B-L,crvd-5,5-C-L
sign_338371,16,28,AUNT,A,A,18907.0,18919.0,79.0,,,2013-06-27_CB_0115-cam1-for-ss3.mp4,9,A,10,S,X-over-thumb,baby-O,1,10,A,L,tight-C_2,5,bent-B-L,F,crvd-5,5-C-L,5,bent-B-L,F,5-C-L,crvd-5
sign_338371,42,48,EXPERT,F,F,18933.0,18939.0,79.0,,,2013-06-27_CB_0115-cam1-for-ss3.mp4,9,8,open-8,V,5,F,5,F,V,crvd-5,L,5,bent-B-L,F,crvd-5,5-C-L,5,bent-B-L,F,crvd-5,L-X
sign_338371,62,71,MAKE,S,S,18953.0,18962.0,79.0,S,S,2013-06-27_CB_0115-cam1-for-ss3.mp4,9,bent-1,10,A,alt-G_bent-L,fanned-flat-O,S,A,1,tight-C_2,flat-O,5,F,bent-B-L,5-C-L,L-X,5,F,bent-B-L,5-C-L,crvd-5
sign_338371,77,93,"\WHAT\""""",crvd-5,crvd-5,18968.0,18984.0,79.0,crvd-5,crvd-5,2013-06-27_CB_0115-cam1-for-ss3.mp4,9,5,crvd-5,crvd-sprd-B,B-L,Y,crvd-5,5,crvd-sprd-B,Y,B-L,5,F,5-C-L,crvd-5,L-X,5,F,5-C-L,crvd-5,L-X
sign_351985,34,52,OH-I-SEE,Y,Y,1676.0,1694.0,11.0,,,4-Deaf-Speech.mov,10,Y,I,flat-O,bent-B-L,S,Y,I,10,bent-B-L,S,bent-B-L,5,C,F,bent-B,5,F,bent-B-L,5-C-L,crvd-5
sign_351985,70,75,"\WHAT\""""",5,5,1712.0,1717.0,11.0,5,5,4-Deaf-Speech.mov,10,5,crvd-5,crvd-sprd-B,W,5-C,5,crvd-5,crvd-sprd-B,4,W,5,F,bent-B-L,5-C-L,crvd-5,5,F,bent-B-L,5-C-L,crvd-5
sign_351985,82,85,IN,flat-O,flat-O,1724.0,1727.0,11.0,O,O,4-Deaf-Speech.mov,10,flat-O,bent-B,bent-B-L,Y,1,flat-O,S,bent-B,V,1,5,F,bent-B-L,crvd-5,5-C-L,5,F,bent-B-L,5-C-L,crvd-5
sign_351985,94,95,HAVE,crvd-B,crvd-B,1736.0,1737.0,11.0,,,4-Deaf-Speech.mov,10,25,5,L,5-C,crvd-sprd-B,25,5,B-L,bent-B-L,L,5,F,bent-B-L,5-C-L,crvd-5,5,bent-B-L,F,5-C-L,Y
sign_351985,102,108,AVERAGE,B-L,B-L,1744.0,1750.0,11.0,crvd-B,crvd-B,4-Deaf-Speech.mov,10,5,B-L,F,B,tight-C_2,B-L,1,5,tight-C_2,S,bent-B-L,5,F,5-C-L,crvd-5,5,bent-B-L,F,5-C-L,Y
sign_351985,117,128,fs-RANGE,R,full-M,1759.0,1770.0,11.0,,,4-Deaf-Speech.mov,10,R,1,tight-C_2,D,L,crvd-V,E,X,R,tight-C_2,bent-B-L,5,F,C,crvd-5,bent-B-L,5,F,C,B-L
sign_351985,134,161,GAMUT,B,B,1776.0,1803.0,11.0,B,B,4-Deaf-Speech.mov,10,F,flat-O,B,tight-C_2,B-xd,F,C,flat-O,B,Y,5,F,bent-B-L,crvd-5,Y,5,F,bent-B-L,crvd-5,Y
sign_351985,167,171,RANGE/SPAN,B-L,B-L,1809.0,1813.0,11.0,B-L,B-L,4-Deaf-Speech.mov,10,5,6,tight-C_2,B-L,crvd-5,5,B-L,1,B,crvd-5,5,crvd-5,L-X,F,1,5,F,crvd-5,L-X,Y
sign_356490,12,17,SHOW,1,1,4623.0,4628.0,18.0,B-L,B-L,8-Control-of-sound-places.mov,11,1,V,crvd-V,bent-1,tight-C_2,V,1,bent-1,crvd-V,tight-C_2,5,F,bent-B-L,crvd-5,Y,5,F,bent-B-L,crvd-5,5-C-L
sign_356490,56,70,MANAGE/CONTROL,X,X,4667.0,4681.0,18.0,X,X,8-Control-of-sound-places.mov,11,X,1,A,T,S,X,1,A,X-over-thumb,S,5,F,bent-B-L,crvd-5,5-C-L,5,F,bent-B-L,crvd-5,5-C-L
sign_356490,74,78,WITH,A,A,4685.0,4689.0,18.0,A,A,8-Control-of-sound-places.mov,11,A,S,1,10,X-over-thumb,A,1,S,10,X,5,F,bent-B-L,crvd-5,L-X,5,F,bent-B-L,crvd-5,5-C-L
sign_356490,90,98,CULTURE,C,C,4701.0,4709.0,18.0,1,1,8-Control-of-sound-places.mov,11,bent-1,5,tight-C_2,crvd-5,C,S,C,5-C,tight-C_2,10,5,F,bent-B-L,crvd-5,5-C-L,5,F,bent-B-L,crvd-5,5-C-L
sign_356490,110,125,HOPE,B-L,bent-B-L,4721.0,4736.0,18.0,B-L,bent-B-L,8-Control-of-sound-places.mov,11,crvd-5,5,C,B-L,25,5,4,crvd-5,bent-B,bent-B-L,5,L-X,crvd-5,1,Y,5,F,crvd-5,bent-B-L,Y
sign_356490,141,156,VOICE-RANGE,crvd-B,crvd-B,4752.0,4767.0,18.0,C,C,8-Control-of-sound-places.mov,11,5,bent-B,B-L,C,crvd-5,5,crvd-5,B-L,bent-B,bent-B-L,5,crvd-5,F,25,bent-B-L,5,F,crvd-5,bent-B-L,25
sign_356490,165,167,KNOW,bent-B,bent-B,4776.0,4778.0,18.0,,,8-Control-of-sound-places.mov,11,B-L,5,25,bent-B,crvd-5,I,1,R,S,5,5,F,bent-B-L,crvd-5,Y,5,F,bent-B-L,crvd-5,Y
sign_356490,175,179,FINISH,5,5,4786.0,4790.0,18.0,5,5,8-Control-of-sound-places.mov,11,5,crvd-5,B-L,tight-C_2,F,tight-C_2,5,B-L,25,crvd-5,bent-B-L,5,F,C,crvd-5,bent-B-L,5,F,C,crvd-5
sign_356490,188,193,SET-UP,10,10,4799.0,4804.0,18.0,psv,psv,8-Control-of-sound-places.mov,11,1,crvd-5,X,5,crvd-B,10,S,A,bent-B-L,Y,5,bent-B-L,F,crvd-5,5-C-L,bent-B-L,5,F,25,crvd-5
sign_356490,208,210,"\WHAT\""""",5,5,4819.0,4821.0,18.0,5,5,8-Control-of-sound-places.mov,11,Y,B-L,bent-B-L,crvd-5,crvd-B,B-L,bent-B-L,crvd-5,5,bent-B,5,F,bent-B-L,5-C-L,crvd-5,5,F,bent-B-L,5-C-L,crvd-5
sign_356490,220,230,ACCEPT,5,flat-O,4831.0,4841.0,18.0,5,flat-O,8-Control-of-sound-places.mov,11,5,B-L,B,F,1,bent-1,1,tight-C_2,X,V,5,F,bent-B-L,crvd-5,5-C-L,bent-B-L,5,F,crvd-5,C
sign_356490,236,238,"\WHAT\""""",5,5,4847.0,4849.0,18.0,5,5,8-Control-of-sound-places.mov,11,B-L,bent-B,5,bent-B-L,25,B-L,5,crvd-5,C,crvd-B,5,F,bent-B-L,5-C-L,crvd-5,5,F,bent-B-L,5-C-L,crvd-5
sign_356490,242,243,NOT,10,10,4853.0,4854.0,18.0,,,8-Control-of-sound-places.mov,11,V,flat-O,10,tight-C_2,1,10,1,S,A,flat-O,5,bent-B-L,F,5-C-L,crvd-5,5,F,bent-B-L,5-C-L,crvd-5
sign_356490,252,262,ACCEPT,5,flat-O,4863.0,4873.0,18.0,5,flat-O,8-Control-of-sound-places.mov,11,B,1,5,B-L,F,1,bent-1,tight-C_2,flat-O,V,5,bent-B-L,F,crvd-5,5-C-L,bent-B-L,5,F,C,crvd-5
sign_279124,12,17,HOT,5-C-L,5-C-L,1105.0,1110.0,7.0,,,2012-01-27_0052-cam1-for-ss3.mp4,12,5,B-L,crvd-5,5-C-L,25,5-C-L,crvd-5,5,Y,F,bent-B-L,5,C,crvd-5,F,bent-B-L,5,F,C,crvd-5
sign_279124,24,29,fs-DAY,D,Y,1117.0,1122.0,7.0,,,2012-01-27_0052-cam1-for-ss3.mp4,12,1,tight-C_2,L,D,I-L-Y,Y,I,10,A,bent-B-L,bent-B-L,5,C,F,crvd-5,bent-B-L,5,F,C,crvd-5
sign_279124,33,44,GO-OUT,tight-C,flat-O,1126.0,1137.0,7.0,,,2012-01-27_0052-cam1-for-ss3.mp4,12,flat-O,M,bent-B,bent-B-L,O,flat-O,tight-C_2,O,S,bent-B-L,bent-B-L,5,F,C,crvd-5,bent-B-L,5,F,C,crvd-5
sign_279124,54,65,ns-fs-JOHN,I_J,N,1147.0,1158.0,7.0,,,2012-01-27_0052-cam1-for-ss3.mp4,12,flat-O,O,bent-B-L,tight-C_2,M,N,S,tight-C_2,flat-O,X-over-thumb,bent-B-L,5,F,C,crvd-5,5,bent-B-L,F,crvd-5,Y
sign_279124,71,77,GO,1,1,1164.0,1170.0,7.0,1,1,2012-01-27_0052-cam1-for-ss3.mp4,12,tight-C_2,S,1,D,X-over-thumb,S,1,X,flat-O,bent-1,5,F,crvd-5,5-C-L,L-X,5,F,bent-B-L,Y,crvd-5
sign_279124,87,94,LIBRARY,L,L,1180.0,1187.0,7.0,,,2012-01-27_0052-cam1-for-ss3.mp4,12,L,1,tight-C_2,D,alt-G_bent-L,1,D,L,tight-C_2,bent-1,5,F,bent-B-L,crvd-5,5-C-L,5,F,bent-B-L,crvd-5,Y
