id_csv1,val1_csv1,val2_csv1,xlsx_col3,xlsx_col9,xlsx_col11,xlsx_a,xlsx_b,xlsx_col16,xlsx_col10,xlsx_col12,xlsx_string
sign_329483,16,22,STUDY,5,5,572,578,5,5,5,2012-02-14_0066-cam1-for-ss3.mp4
sign_329483,32,38,SHOW,1,1,588,594,5,B-L,B-L,2012-02-14_0066-cam1-for-ss3.mp4
sign_329483,60,61,OH-I-SEE,Y,Y,616,617,5,,,2012-02-14_0066-cam1-for-ss3.mp4
sign_329483,66,73,(L-X)INTERESTING,L-X,A,622,629,5,L-X,A,2012-02-14_0066-cam1-for-ss3.mp4
sign_329483,81,84,STUDY,5,5,637,640,5,B-L,B-L,2012-02-14_0066-cam1-for-ss3.mp4
sign_329483,90,97,DO-DO,G,flat-G,646,653,5,G,flat-G,2012-02-14_0066-cam1-for-ss3.mp4
sign_329483,113,122,GROUP/TOGETHER,crvd-5,crvd-5,669,678,5,crvd-5,crvd-5,2012-02-14_0066-cam1-for-ss3.mp4
sign_329483,128,131,PEOPLE,K,K,684,687,5,K,K,2012-02-14_0066-cam1-for-ss3.mp4
sign_329483,138,146,"PCL:5\coming in\""""",5,5,694,702,5,5,5,2012-02-14_0066-cam1-for-ss3.mp4
sign_329483,157,161,LOOK,V,V,713,717,5,V,V,2012-02-14_0066-cam1-for-ss3.mp4
sign_329483,167,186,VIDEOTAPE,V,T,723,742,5,B-L,B-L,2012-02-14_0066-cam1-for-ss3.mp4
sign_329483,193,196,fs-OF,O,F,749,752,5,,,2012-02-14_0066-cam1-for-ss3.mp4
sign_329483,203,210,CAR,S,S,759,766,5,S,S,2012-02-14_0066-cam1-for-ss3.mp4
sign_329483,215,225,ACCIDENT,5,S,771,781,5,5,S,2012-02-14_0066-cam1-for-ss3.mp4
sign_329483,233,238,part:indef,crvd-5,crvd-5,789,794,5,crvd-5,crvd-5,2012-02-14_0066-cam1-for-ss3.mp4
sign_329483,244,246,"5\so all set\""""",crvd-5,crvd-5,800,802,5,crvd-5,crvd-5,2012-02-14_0066-cam1-for-ss3.mp4
sign_240762,8,12,HOW,bent-B,bent-B,3212,3216,18,bent-B,bent-B,1-Introduction-SD.mov
sign_240762,20,25,"\WHAT\""""",5,5,3224,3229,18,5,5,1-Introduction-SD.mov
sign_240762,35,43,THROUGH,B-L,B-L,3239,3247,18,5,5,1-Introduction-SD.mov
sign_240762,59,69,FEEDBACK_3,F,B,3263,3273,18,F,B,1-Introduction-SD.mov
sign_240762,85,87,"5\let's see\""""",5,5,3289,3291,18,5,5,1-Introduction-SD.mov
sign_338371,16,28,AUNT,A,A,18907,18919,79,,,2013-06-27_CB_0115-cam1-for-ss3.mp4
sign_338371,42,48,EXPERT,F,F,18933,18939,79,,,2013-06-27_CB_0115-cam1-for-ss3.mp4
sign_338371,62,71,MAKE,S,S,18953,18962,79,S,S,2013-06-27_CB_0115-cam1-for-ss3.mp4
sign_338371,77,93,"\WHAT\""""",crvd-5,crvd-5,18968,18984,79,crvd-5,crvd-5,2013-06-27_CB_0115-cam1-for-ss3.mp4
sign_351985,34,52,OH-I-SEE,Y,Y,1676,1694,11,,,4-Deaf-Speech.mov
sign_351985,70,75,"\WHAT\""""",5,5,1712,1717,11,5,5,4-Deaf-Speech.mov
sign_351985,82,85,IN,flat-O,flat-O,1724,1727,11,O,O,4-Deaf-Speech.mov
sign_351985,94,95,HAVE,crvd-B,crvd-B,1736,1737,11,,,4-Deaf-Speech.mov
sign_351985,102,108,AVERAGE,B-L,B-L,1744,1750,11,crvd-B,crvd-B,4-Deaf-Speech.mov
sign_351985,117,128,fs-RANGE,R,full-M,1759,1770,11,,,4-Deaf-Speech.mov
sign_351985,134,161,GAMUT,B,B,1776,1803,11,B,B,4-Deaf-Speech.mov
sign_351985,167,171,RANGE/SPAN,B-L,B-L,1809,1813,11,B-L,B-L,4-Deaf-Speech.mov
sign_356490,12,17,SHOW,1,1,4623,4628,18,B-L,B-L,8-Control-of-sound-places.mov
sign_356490,56,70,MANAGE/CONTROL,X,X,4667,4681,18,X,X,8-Control-of-sound-places.mov
sign_356490,74,78,WITH,A,A,4685,4689,18,A,A,8-Control-of-sound-places.mov
sign_356490,90,98,CULTURE,C,C,4701,4709,18,1,1,8-Control-of-sound-places.mov
sign_356490,110,125,HOPE,B-L,bent-B-L,4721,4736,18,B-L,bent-B-L,8-Control-of-sound-places.mov
sign_356490,141,156,VOICE-RANGE,crvd-B,crvd-B,4752,4767,18,C,C,8-Control-of-sound-places.mov
sign_356490,165,167,KNOW,bent-B,bent-B,4776,4778,18,,,8-Control-of-sound-places.mov
sign_356490,175,179,FINISH,5,5,4786,4790,18,5,5,8-Control-of-sound-places.mov
sign_356490,188,193,SET-UP,10,10,4799,4804,18,psv,psv,8-Control-of-sound-places.mov
sign_356490,208,210,"\WHAT\""""",5,5,4819,4821,18,5,5,8-Control-of-sound-places.mov
sign_356490,220,230,ACCEPT,5,flat-O,4831,4841,18,5,flat-O,8-Control-of-sound-places.mov
sign_356490,236,238,"\WHAT\""""",5,5,4847,4849,18,5,5,8-Control-of-sound-places.mov
sign_356490,242,243,NOT,10,10,4853,4854,18,,,8-Control-of-sound-places.mov
sign_356490,252,262,ACCEPT,5,flat-O,4863,4873,18,5,flat-O,8-Control-of-sound-places.mov
sign_279124,12,17,HOT,5-C-L,5-C-L,1105,1110,7,,,2012-01-27_0052-cam1-for-ss3.mp4
sign_279124,24,29,fs-DAY,D,Y,1117,1122,7,,,2012-01-27_0052-cam1-for-ss3.mp4
sign_279124,33,44,GO-OUT,tight-C,flat-O,1126,1137,7,,,2012-01-27_0052-cam1-for-ss3.mp4
sign_279124,54,65,ns-fs-JOHN,I_J,N,1147,1158,7,,,2012-01-27_0052-cam1-for-ss3.mp4
sign_279124,71,77,GO,1,1,1164,1170,7,1,1,2012-01-27_0052-cam1-for-ss3.mp4
sign_279124,87,94,LIBRARY,L,L,1180,1187,7,,,2012-01-27_0052-cam1-for-ss3.mp4
sign_279124,97,100,READ,V,V,1190,1193,7,B-L,B-L,2012-01-27_0052-cam1-for-ss3.mp4
sign_279124,107,113,MAGAZINE,L-X,L-X,1200,1206,7,B-L,B-L,2012-01-27_0052-cam1-for-ss3.mp4
sign_279124,119,123,FINE,5,25,1212,1216,7,,,2012-01-27_0052-cam1-for-ss3.mp4
sign_279124,130,135,#AC,A,5-C-L,1223,1228,7,,,2012-01-27_0052-cam1-for-ss3.mp4
sign_279124,142,153,COOL,B-L,bent-B-L,1235,1246,7,B-L,bent-B-L,2012-01-27_0052-cam1-for-ss3.mp4
sign_329735,4,11,ONLY,1,1,2703,2710,18,,,2012-02-14_0066-cam1-for-ss3.mp4
sign_329735,18,23,TWENTY,flat-G,flat-G,2717,2722,18,,,2012-02-14_0066-cam1-for-ss3.mp4
sign_329735,26,30,THIRTY,3,flat-O-2,2725,2729,18,,,2012-02-14_0066-cam1-for-ss3.mp4
sign_329735,35,44,fs-MPH,M,U,2734,2743,18,,,2012-02-14_0066-cam1-for-ss3.mp4
sign_329735,51,55,OH-I-SEE,Y,Y,2750,2754,18,,,2012-02-14_0066-cam1-for-ss3.mp4
sign_329735,60,65,MEAN,V,V,2759,2764,18,5,5,2012-02-14_0066-cam1-for-ss3.mp4
sign_329735,72,77,SHOW,1,1,2771,2776,18,5,5,2012-02-14_0066-cam1-for-ss3.mp4
sign_329735,84,89,HOW,10,10,2783,2788,18,10,10,2012-02-14_0066-cam1-for-ss3.mp4
sign_329735,94,101,LANGUAGE,L,L,2793,2800,18,L,L,2012-02-14_0066-cam1-for-ss3.mp4
sign_329735,111,114,USE,U,U,2810,2813,18,bent-U,bent-U,2012-02-14_0066-cam1-for-ss3.mp4
sign_329735,121,130,SUBLIMINAL-INFLUENCE,flat-O,5,2820,2829,18,B-L,B-L,2012-02-14_0066-cam1-for-ss3.mp4
sign_329735,145,149,FUTURE,5,5,2844,2848,18,,,2012-02-14_0066-cam1-for-ss3.mp4
sign_329735,152,159,ANSWER,1,1,2851,2858,18,1,1,2012-02-14_0066-cam1-for-ss3.mp4
sign_329735,163,173,ANYWAY/NOT-MATTER,B-L,B-L,2862,2872,18,B-L,B-L,2012-02-14_0066-cam1-for-ss3.mp4
sign_329735,177,183,#ALL,A,L,2876,2882,18,,,2012-02-14_0066-cam1-for-ss3.mp4
sign_329735,190,192,SEE,V,K,2889,2891,18,,,2012-02-14_0066-cam1-for-ss3.mp4
sign_329735,196,203,ALSO,1,1,2895,2902,18,1,1,2012-02-14_0066-cam1-for-ss3.mp4
sign_329735,209,223,VIDEOTAPE,V,T,2908,2922,18,B-L,B-L,2012-02-14_0066-cam1-for-ss3.mp4
sign_329735,231,238,"crvd-B\you see\""""",crvd-B,crvd-B,2930,2937,18,crvd-B,crvd-B,2012-02-14_0066-cam1-for-ss3.mp4
sign_345056,12,17,ENJOY,B-L,B-L,2812,2817,12,B-L,B-L,2012-11-27_JM8_0097-cam1-for-ss3.mp4
sign_345056,25,30,CHAT,5,5,2825,2830,12,5,5,2012-11-27_JM8_0097-cam1-for-ss3.mp4
sign_345056,35,38,WITH,A,A,2835,2838,12,A,A,2012-11-27_JM8_0097-cam1-for-ss3.mp4
sign_345056,43,46,FIRST-IN-LIST,1,1,2843,2846,12,10,10,2012-11-27_JM8_0097-cam1-for-ss3.mp4
sign_345056,97,98,SECOND-IN-LIST,1,1,2897,2898,12,L,L,2012-11-27_JM8_0097-cam1-for-ss3.mp4
sign_345056,102,116,ns-fs-DONNA,D,A,2902,2916,12,,,2012-11-27_JM8_0097-cam1-for-ss3.mp4
sign_345056,132,142,ENJOY,B-L,B-L,2932,2942,12,B-L,B-L,2012-11-27_JM8_0097-cam1-for-ss3.mp4
sign_345056,148,151,WHY,25,25,2948,2951,12,,,2012-11-27_JM8_0097-cam1-for-ss3.mp4
sign_345056,160,164,ENJOY,B-L,B-L,2960,2964,12,B-L,B-L,2012-11-27_JM8_0097-cam1-for-ss3.mp4
sign_345056,169,173,CHAT,5,5,2969,2973,12,5,5,2012-11-27_JM8_0097-cam1-for-ss3.mp4
sign_345056,181,192,#ASL,A,L,2981,2992,12,,,2012-11-27_JM8_0097-cam1-for-ss3.mp4
sign_332575,16,20,FINISH,5,5,3612,3616,17,5,5,2012-11-27_JM9_0098-cam1-for-ss3.mp4
sign_332575,26,37,DECIDE,F,F,3622,3633,17,F,F,2012-11-27_JM9_0098-cam1-for-ss3.mp4
sign_332575,48,61,ns-fs-MARY,M,Y,3644,3657,17,,,2012-11-27_JM9_0098-cam1-for-ss3.mp4
sign_332575,69,71,NOT,10,10,3665,3667,17,,,2012-11-27_JM9_0098-cam1-for-ss3.mp4
sign_332575,75,80,INVITE/HIRE,crvd-flat-B,crvd-flat-B,3671,3676,17,,,2012-11-27_JM9_0098-cam1-for-ss3.mp4
sign_332575,86,90,GO-OUT,5,A,3682,3686,17,,,2012-11-27_JM9_0098-cam1-for-ss3.mp4
sign_332575,93,101,#BBQ,B,G,3689,3697,17,,,2012-11-27_JM9_0098-cam1-for-ss3.mp4
sign_332575,103,108,PARTY,K,K,3699,3704,17,K,K,2012-11-27_JM9_0098-cam1-for-ss3.mp4
sign_332575,114,116,WHY,25,25,3710,3712,17,,,2012-11-27_JM9_0098-cam1-for-ss3.mp4
sign_332575,124,126,NOT,10,10,3720,3722,17,,,2012-11-27_JM9_0098-cam1-for-ss3.mp4
sign_332575,128,133,HAPPEN,1,1,3724,3729,17,1,1,2012-11-27_JM9_0098-cam1-for-ss3.mp4
sign_332575,138,159,SOCIAL/INTERACT,5,5,3734,3755,17,5,5,2012-11-27_JM9_0098-cam1-for-ss3.mp4
sign_347538,8,11,FATHER,5,5,17139,17142,78,,,2012-11-27_JM7_0096-cam1-for-ss3.mp4
sign_347538,24,34,MUST,X,X,17155,17165,78,,,2012-11-27_JM7_0096-cam1-for-ss3.mp4
sign_347538,39,56,MOW,S,S,17170,17187,78,S,S,2012-11-27_JM7_0096-cam1-for-ss3.mp4
sign_347538,63,69,WHY,25,25,17194,17200,78,,,2012-11-27_JM7_0096-cam1-for-ss3.mp4
sign_347538,80,81,SOON,F,F,17211,17212,78,,,2012-11-27_JM7_0096-cam1-for-ss3.mp4
sign_347538,84,86,FUTURE,5,5,17215,17217,78,,,2012-11-27_JM7_0096-cam1-for-ss3.mp4
sign_347538,92,98,TAKE-UP,5,S,17223,17229,78,5,S,2012-11-27_JM7_0096-cam1-for-ss3.mp4
sign_347538,105,114,#BBQ,B,G,17236,17245,78,,,2012-11-27_JM7_0096-cam1-for-ss3.mp4
sign_347538,120,132,PARTY,K,K,17251,17263,78,K,K,2012-11-27_JM7_0096-cam1-for-ss3.mp4
sign_301711,8,13,PAST,bent-B-L,bent-B-L,3469,3474,18,,,2011-12-01_0043-cam1-for-ss3.mp4
sign_301711,18,22,TAKE-BREAK,B-L,B-L,3479,3483,18,Vulcan,Vulcan,2011-12-01_0043-cam1-for-ss3.mp4
sign_301711,32,40,,,,,,,,,
sign_301711,42,47,HOMEWORK,crvd-5,S,3503,3508,18,cocked-S,cocked-S,2011-12-01_0043-cam1-for-ss3.mp4
sign_301711,53,64,FROM-NOW-ON,bent-B-L,bent-B-L,3514,3525,18,bent-B-L,bent-B-L,2011-12-01_0043-cam1-for-ss3.mp4
sign_301711,71,81,EMPTY-FROM-NOW-ON,25,25,3532,3542,18,bent-B-L,bent-B-L,2011-12-01_0043-cam1-for-ss3.mp4
sign_301711,88,94,READY,R,R,3549,3555,18,R,R,2011-12-01_0043-cam1-for-ss3.mp4
sign_296208,12,17,#WHEN,W,N,9843,9848,51,,,2012-11-27_JM5_0094-cam1-for-ss3.mp4
sign_296208,21,21,POSS-1p,B-L,B-L,9852,9852,51,,,2012-11-27_JM5_0094-cam1-for-ss3.mp4
sign_296208,24,29,FRIEND,X,1,9855,9860,51,1,1,2012-11-27_JM5_0094-cam1-for-ss3.mp4
sign_296208,36,42,"SCL:X\catch fish\""""",X-over-thumb,X-over-thumb,9867,9873,51,X-over-thumb,X-over-thumb,2012-11-27_JM5_0094-cam1-for-ss3.mp4
sign_296208,46,51,FISH,bent-B,B-L,9877,9882,51,,,2012-11-27_JM5_0094-cam1-for-ss3.mp4
sign_296208,59,66,MUST,X,X,9890,9897,51,,,2012-11-27_JM5_0094-cam1-for-ss3.mp4
sign_296208,69,83,fs-BUCKET,B,T,9900,9914,51,,,2012-11-27_JM5_0094-cam1-for-ss3.mp4
sign_296208,89,93,"ICL:B-L\bring over bucket\""""",B-L,B-L,9920,9924,51,B-L,B-L,2012-11-27_JM5_0094-cam1-for-ss3.mp4
sign_296208,101,106,"SCL:1\throw fish in bucket\""""",flat-O,1,9932,9937,51,,,2012-11-27_JM5_0094-cam1-for-ss3.mp4
sign_296208,112,116,FIRST,1,1,9943,9947,51,,,2012-11-27_JM5_0094-cam1-for-ss3.mp4
sign_296208,124,126,FAST_3,1,X,9955,9957,51,1,X,2012-11-27_JM5_0094-cam1-for-ss3.mp4
sign_296208,151,163,#FRESH,F,U,9982,9994,51,,,2012-11-27_JM5_0094-cam1-for-ss3.mp4
sign_296208,167,171,A-OK,F,F,9998,10002,51,F,F,2012-11-27_JM5_0094-cam1-for-ss3.mp4
sign_296208,176,185,FINE,5,5,10007,10016,51,,,2012-11-27_JM5_0094-cam1-for-ss3.mp4
sign_303163,13,14,CAR,S,S,1476,1477,7,S,S,2012-01-27_0051-cam1-for-ss3.mp4
sign_303163,22,25,HAVE,bent-B-L,bent-B-L,1485,1488,7,bent-B-L,bent-B-L,2012-01-27_0051-cam1-for-ss3.mp4
sign_303163,30,43,#GAS,L,S,1493,1506,7,,,2012-01-27_0051-cam1-for-ss3.mp4
sign_303163,48,52,FINISH,5,5,1511,1515,7,5,5,2012-01-27_0051-cam1-for-ss3.mp4
sign_303163,56,66,CHECK,1,1,1519,1529,7,5,5,2012-01-27_0051-cam1-for-ss3.mp4
sign_263294,25,35,GRADUATE,G,G,6385,6395,34,crvd-B,crvd-B,2013-06-27_CB_0113-cam1-for-ss3.mp4
sign_263294,41,53,#HS,U-L,S,6401,6413,34,,,2013-06-27_CB_0113-cam1-for-ss3.mp4
sign_263294,63,75,WHEN,1,1,6423,6435,34,1,1,2013-06-27_CB_0113-cam1-for-ss3.mp4
sign_352489,6,11,ONE,1,1,7365,7370,37,,,4-Deaf-Speech.mov
sign_352489,17,28,STUDENT,crvd-5,crvd-5,7376,7387,37,B-L,B-L,4-Deaf-Speech.mov
sign_352489,33,43,FORMERLY,5,5,7392,7402,37,,,4-Deaf-Speech.mov
sign_352489,49,52,POSS-1p,B-L,B-L,7408,7411,37,,,4-Deaf-Speech.mov
sign_352489,63,81,DIRECT,F,F,7422,7440,37,F,F,4-Deaf-Speech.mov
sign_352489,83,88,ABOUT,1,1,7442,7447,37,1,1,4-Deaf-Speech.mov
sign_352489,90,91,POSS,crvd-5,crvd-5,7449,7450,37,,,4-Deaf-Speech.mov
sign_352489,97,101,EXPERIENCE,crvd-5,tight-C,7456,7460,37,,,4-Deaf-Speech.mov
sign_352489,113,118,TAKE-UP,crvd-5,S,7472,7477,37,crvd-5,S,4-Deaf-Speech.mov
sign_352489,130,142,TEST,1,X,7489,7501,37,1,X,4-Deaf-Speech.mov
sign_352489,152,169,ns-fs-SAT,S,T,7511,7528,37,,,4-Deaf-Speech.mov
sign_352489,175,179,DURING/WHILE,1,1,7534,7538,37,1,1,4-Deaf-Speech.mov
sign_352489,186,194,#HS,U,S,7545,7553,37,,,4-Deaf-Speech.mov
sign_45289,16,18,#IF,cocked-F,cocked-F,6176,6178,31,,,2012-02-09_0061-cam1-for-ss3.mp4
sign_45289,22,24,TOMORROW,10,10,6182,6184,31,,,2012-02-09_0061-cam1-for-ss3.mp4
sign_45289,30,34,SNOW,5,25,6190,6194,31,5,25,2012-02-09_0061-cam1-for-ss3.mp4
sign_45289,39,46,GUARANTEE,G,G,6199,6206,31,5,5,2012-02-09_0061-cam1-for-ss3.mp4
sign_45289,52,58,SCHOOL,B-L,B-L,6212,6218,31,B-L,B-L,2012-02-09_0061-cam1-for-ss3.mp4
sign_45289,63,64,FUTURE,B-L,B-L,6223,6224,31,,,2012-02-09_0061-cam1-for-ss3.mp4
sign_45289,66,71,CLOSE-DOOR,B-xd,B-xd,6226,6231,31,B-xd,B-xd,2012-02-09_0061-cam1-for-ss3.mp4
sign_277842,14,16,FUTURE,B-L,B-L,2637,2639,9,,,2011-12-08_0045-cam1-for-ss3.mp4
sign_277842,18,24,SEE,K,K,2641,2647,9,,,2011-12-08_0045-cam1-for-ss3.mp4
sign_277842,30,41,ns-fs-MARY,M,Y,2653,2664,9,,,2011-12-08_0045-cam1-for-ss3.mp4
sign_277842,50,55,PARTY,K,K,2673,2678,9,K,K,2011-12-08_0045-cam1-for-ss3.mp4
sign_277842,62,66,NOT-MIND,1,1,2685,2689,9,,,2011-12-08_0045-cam1-for-ss3.mp4
sign_277842,69,74,TELL,1,L,2692,2697,9,,,2011-12-08_0045-cam1-for-ss3.mp4
sign_277842,79,93,CALL-BY-PHONE,Y,Y,2702,2716,9,,,2011-12-08_0045-cam1-for-ss3.mp4
sign_277842,97,102,part:indef,5-C-L,5-C-L,2720,2725,9,,,2011-12-08_0045-cam1-for-ss3.mp4
sign_277842,140,144,#NO,tight-C-2,flat-O-2,2763,2767,9,,,2011-12-08_0045-cam1-for-ss3.mp4
sign_277842,154,160,DOUBT,V,crvd-V,2777,2783,9,,,2011-12-08_0045-cam1-for-ss3.mp4
sign_277842,167,173,FUTURE,B-L,B-L,2790,2796,9,,,2011-12-08_0045-cam1-for-ss3.mp4
sign_277842,176,184,GO-OUT,crvd-sprd-B,flat-O,2799,2807,9,,,2011-12-08_0045-cam1-for-ss3.mp4
sign_277842,197,203,,,,,,,,,
sign_277842,212,217,SEE,K,K,2835,2840,9,,,2011-12-08_0045-cam1-for-ss3.mp4
sign_277842,229,231,FUTURE,B-L,B-L,2852,2854,9,,,2011-12-08_0045-cam1-for-ss3.mp4
sign_277842,233,239,TELL,1,1,2856,2862,9,,,2011-12-08_0045-cam1-for-ss3.mp4
sign_277842,246,255,CALL-BY-PHONE,Y,Y,2869,2878,9,,,2011-12-08_0045-cam1-for-ss3.mp4
sign_277842,262,269,"5\of course\""""",5-C-L,5-C-L,2885,2892,9,5-C-L,5-C-L,2011-12-08_0045-cam1-for-ss3.mp4
sign_281119,6,10,#IF,I,F,12162,12166,49,,,2012-02-09_0060-cam1-for-ss3.mp4
sign_281119,20,27,RAIN,crvd-5,5-C-L,12176,12183,49,crvd-5,5-C-L,2012-02-09_0060-cam1-for-ss3.mp4
sign_281119,39,43,STAY,Y,Y,12195,12199,49,Y,Y,2012-02-09_0060-cam1-for-ss3.mp4
sign_281119,52,62,HOME,O,O,12208,12218,49,,,2012-02-09_0060-cam1-for-ss3.mp4
sign_296157,11,16,#IF,I,F,9334,9339,49,,,2012-11-27_JM5_0094-cam1-for-ss3.mp4
sign_296157,24,24,POSS-1p,5,5,9347,9347,49,,,2012-11-27_JM5_0094-cam1-for-ss3.mp4
sign_296157,31,35,BOSS,crvd-5,crvd-5,9354,9358,49,,,2012-11-27_JM5_0094-cam1-for-ss3.mp4
sign_296157,49,54,SUMMON,B-L,10,9372,9377,49,A,A,2012-11-27_JM5_0094-cam1-for-ss3.mp4
sign_296157,73,76,"5\listen up\""""",5,5,9396,9399,49,,,2012-11-27_JM5_0094-cam1-for-ss3.mp4
sign_296157,80,84,GUARANTEE,G,G,9403,9407,49,5,5,2012-11-27_JM5_0094-cam1-for-ss3.mp4
sign_296157,89,97,EACH+ONE-pl-arc,A,1,9412,9420,49,A,,2012-11-27_JM5_0094-cam1-for-ss3.mp4
sign_296157,107,107,,,,,,,,,
sign_296157,112,117,KNOW-THAT,B,B,9435,9440,49,,,2012-11-27_JM5_0094-cam1-for-ss3.mp4
sign_296157,124,127,IN,O,O,9447,9450,49,B-L,B-L,2012-11-27_JM5_0094-cam1-for-ss3.mp4
sign_296157,131,140,TROUBLE,B,B,9454,9463,49,B,B,2012-11-27_JM5_0094-cam1-for-ss3.mp4
sign_297273,16,16,REALLY,U,U,5707,5707,25,,,2012-11-27_JM6_0095-cam1-for-ss3.mp4
sign_297273,19,23,HONEST,U,U,5710,5714,25,B-L,B-L,2012-11-27_JM6_0095-cam1-for-ss3.mp4
sign_297273,27,30,#IF,I,cocked-F,5718,5721,25,,,2012-11-27_JM6_0095-cam1-for-ss3.mp4
sign_297273,37,42,FAIL,K,K,5728,5733,25,B-L,B-L,2012-11-27_JM6_0095-cam1-for-ss3.mp4
sign_297273,48,52,CLASS,C,C,5739,5743,25,C,C,2012-11-27_JM6_0095-cam1-for-ss3.mp4
